model_id,pipeline_name,directory
openai/whisper-medium,automatic-speech-recognition,whisper-medium
obi/deid_roberta_i2b2,token-classification,deid_roberta_i2b2
thenlper/gte-base,sentence-similarity,gte-base
unslothai/other,feature-extraction,other
FinLang/finance-embeddings-investopedia,sentence-similarity,finance-embeddings-investopedia
m-a-p/MERT-v1-330M,audio-classification,MERT-v1-330M
ncbi/MedCPT-Cross-Encoder,text-classification,MedCPT-Cross-Encoder
Helsinki-NLP/opus-mt-en-ar,translation,opus-mt-en-ar
ibm-granite/granite-speech-4.1-2b,automatic-speech-recognition,granite-speech-4.1-2b
deepvk/USER-bge-m3,sentence-similarity,USER-bge-m3
microsoft/swinv2-tiny-patch4-window16-256,image-classification,swinv2-tiny-patch4-window16-256
microsoft/trocr-small-handwritten,image-to-text,trocr-small-handwritten
dccuchile/bert-base-spanish-wwm-uncased,fill-mask,bert-base-spanish-wwm-uncased
NeuML/pubmedbert-base-embeddings,sentence-similarity,pubmedbert-base-embeddings
dascim/juribert-base,fill-mask,juribert-base
Salesforce/blip-vqa-base,visual-question-answering,blip-vqa-base
Rostlab/prot_bert,fill-mask,prot_bert
microsoft/trocr-base-printed,image-to-text,trocr-base-printed
xsway/wav2vec2-large-xlsr-georgian,automatic-speech-recognition,wav2vec2-large-xlsr-georgian
naver/splade-cocondenser-ensembledistil,feature-extraction,splade-cocondenser-ensembledistil
cambridgeltl/SapBERT-from-PubMedBERT-fulltext-mean-token,feature-extraction,SapBERT-from-PubMedBERT-fulltext-mean-token
kha-white/manga-ocr-base,image-to-text,manga-ocr-base
flair/ner-english-fast,token-classification,ner-english-fast
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,zero-shot-image-classification,CLIP-ViT-L-14-laion2B-s32B-b82K
ncbi/MedCPT-Query-Encoder,feature-extraction,MedCPT-Query-Encoder
timm/convnext_tiny.in12k_ft_in1k,image-classification,convnext_tiny.in12k_ft_in1k
facebook/sam-vit-huge,mask-generation,sam-vit-huge
infinitejoy/wav2vec2-large-xls-r-300m-armenian,automatic-speech-recognition,wav2vec2-large-xls-r-300m-armenian
ibm-granite/granite-embedding-311m-multilingual-r2,feature-extraction,granite-embedding-311m-multilingual-r2
nvidia/parakeet-tdt-0.6b-v2,automatic-speech-recognition,nvidia__parakeet-tdt-0_6b-v2
albert/albert-base-v2,fill-mask,albert-base-v2
Alimzhan/wav2vec2-large-xls-r-300m-albanian-colab,automatic-speech-recognition,wav2vec2-large-xls-r-300m-albanian-colab
language-and-voice-lab/wav2vec2-large-xlsr-53-icelandic-ep30-967h,automatic-speech-recognition,wav2vec2-large-xlsr-53-icelandic-ep30-967h
bespin-global/klue-sroberta-base-continue-learning-by-mnr,sentence-similarity,klue-sroberta-base-continue-learning-by-mnr
gchhablani/wav2vec2-large-xlsr-gu,automatic-speech-recognition,wav2vec2-large-xlsr-gu
LazarusNLP/all-indo-e5-small-v4,sentence-similarity,all-indo-e5-small-v4
Snowflake/snowflake-arctic-embed-m-v1.5,sentence-similarity,snowflake-arctic-embed-m-v1.5
facebook/dinov3-vits16-pretrain-lvd1689m,image-feature-extraction,dinov3-vits16-pretrain-lvd1689m
DeepPavlov/rubert-base-cased,feature-extraction,rubert-base-cased
sentence-transformers/paraphrase-albert-small-v2,sentence-similarity,sentence-transformers__paraphrase-albert-small-v2
jinaai/jina-embeddings-v5-text-small,feature-extraction,jina-embeddings-v5-text-small
BAAI/bge-small-en,feature-extraction,bge-small-en
snunlp/KR-FinBert-SC,text-classification,KR-FinBert-SC
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,image-classification,vit_base_patch16_224.augreg2_in21k_ft_in1k
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,CLIP-ViT-H-14-laion2B-s32B-b79K
microsoft/BiomedVLP-CXR-BERT-specialized,fill-mask,BiomedVLP-CXR-BERT-specialized
laion/CLIP-ViT-B-16-laion2B-s34B-b88K,zero-shot-image-classification,CLIP-ViT-B-16-laion2B-s34B-b88K
tohoku-nlp/bert-base-japanese-whole-word-masking,fill-mask,bert-base-japanese-whole-word-masking
ibm-research/MoLFormer-XL-both-10pct,feature-extraction,MoLFormer-XL-both-10pct
ElKulako/cryptobert,text-classification,cryptobert
antoinelouis/crossencoder-camembert-base-mmarcoFR,text-ranking,crossencoder-camembert-base-mmarcoFR
facebook/mms-lid-256,audio-classification,mms-lid-256
Snowflake/snowflake-arctic-embed-xs,sentence-similarity,snowflake-arctic-embed-xs
Helsinki-NLP/opus-mt-en-it,translation,opus-mt-en-it
antoinelouis/french-bge-m3,sentence-similarity,french-bge-m3
speechbrain/emotion-recognition-wav2vec2-IEMOCAP,audio-classification,emotion-recognition-wav2vec2-IEMOCAP
google-t5/t5-large,translation,t5-large
julien-c/dummy-unknown,fill-mask,dummy-unknown
camenduru/dinov3-vitl16-pretrain-lvd1689m,image-feature-extraction,camenduru__dinov3-vitl16-pretrain-lvd1689m
timm/convnext_femto.d1_in1k,image-classification,convnext_femto.d1_in1k
google/siglip2-base-patch16-224,zero-shot-image-classification,siglip2-base-patch16-224
distilbert/distilbert-base-german-cased,fill-mask,distilbert-base-german-cased
timm/wide_resnet50_2.racm_in1k,image-classification,wide_resnet50_2.racm_in1k
jinaai/jina-embeddings-v2-base-code,feature-extraction,jina-embeddings-v2-base-code
hotchpotch/japanese-reranker-cross-encoder-small-v1,text-ranking,japanese-reranker-cross-encoder-small-v1
fixie-ai/ultraVAD,image-feature-extraction,ultraVAD
cross-encoder/nli-deberta-v3-base,zero-shot-classification,nli-deberta-v3-base
OpenMuQ/MuQ-large-msd-iter,audio-classification,MuQ-large-msd-iter
littlejohn-ai/bge-m3-spa-law-qa,sentence-similarity,bge-m3-spa-law-qa
sentence-transformers/paraphrase-MiniLM-L12-v2,sentence-similarity,paraphrase-MiniLM-L12-v2
LiheYoung/depth-anything-large-hf,depth-estimation,depth-anything-large-hf
alvanlii/whisper-small-cantonese,automatic-speech-recognition,whisper-small-cantonese
ales/wav2vec2-cv-be,automatic-speech-recognition,wav2vec2-cv-be
dominguesm/legal-bert-base-cased-ptbr,fill-mask,legal-bert-base-cased-ptbr
facebook/hubert-base-ls960,feature-extraction,hubert-base-ls960
Qdrant/multilingual-e5-large-onnx,sentence-similarity,multilingual-e5-large-onnx
jinaai/jina-embeddings-v2-base-de,feature-extraction,jina-embeddings-v2-base-de
jhu-clsp/mmBERT-base,fill-mask,mmBERT-base
facebook/wav2vec2-conformer-rope-large-960h-ft,automatic-speech-recognition,wav2vec2-conformer-rope-large-960h-ft
mixedbread-ai/deepset-mxbai-embed-de-large-v1,feature-extraction,deepset-mxbai-embed-de-large-v1
facebook/wav2vec2-xlsr-53-espeak-cv-ft,automatic-speech-recognition,wav2vec2-xlsr-53-espeak-cv-ft
microsoft/codebert-base,feature-extraction,codebert-base
cross-encoder/nli-deberta-v3-small,zero-shot-classification,nli-deberta-v3-small
classla/wav2vec2-xls-r-juznevesti-sr,automatic-speech-recognition,wav2vec2-xls-r-juznevesti-sr
distilbert/distilbert-base-cased,fill-mask,distilbert-base-cased
briaai/RMBG-1.4,image-segmentation,RMBG-1.4
cross-encoder/stsb-roberta-large,text-ranking,stsb-roberta-large
microsoft/harrier-oss-v1-0.6b,feature-extraction,harrier-oss-v1-0.6b
wkcn/TinyCLIP-ViT-8M-16-Text-3M-YFCC15M,zero-shot-image-classification,TinyCLIP-ViT-8M-16-Text-3M-YFCC15M
nijatzeynalov/wav2vec2-large-mms-1b-azerbaijani-common_voice15.0,automatic-speech-recognition,wav2vec2-large-mms-1b-azerbaijani-common_voice15.0
PaddlePaddle/en_PP-OCRv5_mobile_rec,image-to-text,en_PP-OCRv5_mobile_rec
valhalla/distilbart-mnli-12-1,zero-shot-classification,distilbart-mnli-12-1
sdadas/mmlw-roberta-large,sentence-similarity,mmlw-roberta-large
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,zero-shot-classification,mDeBERTa-v3-base-xnli-multilingual-nli-2mil7
xbgoose/hubert-large-speech-emotion-recognition-russian-dusha-finetuned,audio-classification,hubert-large-speech-emotion-recognition-russian-dusha-finetuned
OrdalieTech/Solon-embeddings-large-0.1,feature-extraction,Solon-embeddings-large-0.1
onecxi/open-vakgyata,audio-classification,open-vakgyata
thenlper/gte-small,sentence-similarity,gte-small
vinai/phobert-base,fill-mask,phobert-base
Helsinki-NLP/opus-mt-en-fr,translation,opus-mt-en-fr
E-MIMIC/inclusively-classification,text-classification,inclusively-classification
microsoft/deberta-large-mnli,text-classification,deberta-large-mnli
openai/privacy-filter,token-classification,privacy-filter
FacebookAI/roberta-large-mnli,text-classification,roberta-large-mnli
cybersectony/phishing-email-detection-distilbert_v2.4.1,text-classification,phishing-email-detection-distilbert_v2.4.1
PaddlePaddle/PP-DocLayoutV3_safetensors,object-detection,PP-DocLayoutV3_safetensors
ku-nlp/deberta-v2-large-japanese-char-wwm,fill-mask,deberta-v2-large-japanese-char-wwm
timpal0l/mdeberta-v3-base-squad2,question-answering,mdeberta-v3-base-squad2
nvidia/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer-b0-finetuned-ade-512-512
timm/mobilenetv3_large_100.ra_in1k,image-classification,mobilenetv3_large_100.ra_in1k
google/pegasus-xsum,summarization,pegasus-xsum
google-t5/t5-3b,translation,t5-3b
facebook/mms-1b-all,automatic-speech-recognition,mms-1b-all
Xenova/bge-small-en-v1.5,feature-extraction,Xenova__bge-small-en-v1_5
heydariAI/persian-embeddings,feature-extraction,persian-embeddings
PaddlePaddle/PP-LCNet_x1_0_textline_ori,image-to-text,PP-LCNet_x1_0_textline_ori
timm/vit_base_patch8_224.augreg2_in21k_ft_in1k,image-classification,vit_base_patch8_224.augreg2_in21k_ft_in1k
sentence-transformers/msmarco-MiniLM-L6-v3,sentence-similarity,msmarco-MiniLM-L6-v3
Gherman/bert-base-NER-Russian,token-classification,bert-base-NER-Russian
mlx-community/parakeet-tdt_ctc-110m,automatic-speech-recognition,parakeet-tdt_ctc-110m
Marxav/wav2vec2-large-xlsr-53-breton,automatic-speech-recognition,wav2vec2-large-xlsr-53-breton
allegro/herbert-base-cased,feature-extraction,herbert-base-cased
tohoku-nlp/bert-base-japanese,fill-mask,bert-base-japanese
redis/langcache-embed-v1,sentence-similarity,langcache-embed-v1
facebook/PE-Core-L14-336,zero-shot-image-classification,PE-Core-L14-336
microsoft/trocr-large-handwritten,image-to-text,trocr-large-handwritten
Intel/dpt-hybrid-midas,depth-estimation,dpt-hybrid-midas
cross-encoder/nli-deberta-v3-large,zero-shot-classification,nli-deberta-v3-large
optimum-intel-internal-testing/tiny-random-distilbert,text-classification,tiny-random-distilbert
upskyy/bge-m3-korean,sentence-similarity,bge-m3-korean
protectai/deberta-v3-base-prompt-injection-v2,text-classification,deberta-v3-base-prompt-injection-v2
ibm-granite/granite-embedding-97m-multilingual-r2,feature-extraction,granite-embedding-97m-multilingual-r2
cross-encoder/ms-marco-TinyBERT-L2-v2,text-ranking,ms-marco-TinyBERT-L2-v2
beomi/kcbert-base,fill-mask,kcbert-base
Davlan/bert-base-multilingual-cased-ner-hrl,token-classification,bert-base-multilingual-cased-ner-hrl
pyannote/speaker-diarization-3.0,automatic-speech-recognition,speaker-diarization-3.0
sentence-transformers/clip-ViT-B-32-multilingual-v1,sentence-similarity,clip-ViT-B-32-multilingual-v1
Alibaba-NLP/gte-multilingual-reranker-base,text-ranking,gte-multilingual-reranker-base
sentence-transformers/nli-mpnet-base-v2,sentence-similarity,nli-mpnet-base-v2
PekingU/rtdetr_r50vd_coco_o365,object-detection,rtdetr_r50vd_coco_o365
FrameByFrame/privacy-filter-korean,token-classification,privacy-filter-korean
TahaDouaji/detr-doc-table-detection,object-detection,detr-doc-table-detection
unslothai/vram-24,feature-extraction,vram-24
timm/vit_base_patch16_plus_clip_240.laion400m_e31,zero-shot-image-classification,vit_base_patch16_plus_clip_240.laion400m_e31
timm/swinv2_tiny_window8_256.ms_in1k,image-classification,swinv2_tiny_window8_256.ms_in1k
facebook/wav2vec2-large-xlsr-53-dutch,automatic-speech-recognition,facebook__wav2vec2-large-xlsr-53-dutch
MilaNLProc/xlm-emo-t,text-classification,xlm-emo-t
timm/edgenext_small.usi_in1k,image-classification,edgenext_small.usi_in1k
timm/efficientnet_b2.ra_in1k,image-classification,efficientnet_b2.ra_in1k
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,fill-mask,BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext
tomaarsen/span-marker-bert-base-uncased-acronyms,token-classification,span-marker-bert-base-uncased-acronyms
gilf/french-camembert-postag-model,token-classification,french-camembert-postag-model
google/siglip2-base-patch16-256,zero-shot-image-classification,siglip2-base-patch16-256
sdadas/mmlw-retrieval-roberta-large,sentence-similarity,mmlw-retrieval-roberta-large
Helsinki-NLP/opus-mt-en-ru,translation,opus-mt-en-ru
giacomoarienti/nsfw-classifier,image-classification,nsfw-classifier
seyonec/ChemBERTa-zinc-base-v1,fill-mask,ChemBERTa-zinc-base-v1
michelleli99/NSFW_text_classifier,text-classification,NSFW_text_classifier
microsoft/deberta-base,fill-mask,deberta-base
unitary/toxic-bert,text-classification,toxic-bert
Marqo/nsfw-image-detection-384,image-classification,nsfw-image-detection-384
FluidInference/parakeet-tdt-0.6b-v3-coreml,automatic-speech-recognition,parakeet-tdt-0.6b-v3-coreml
jhgan/ko-sbert-nli,sentence-similarity,ko-sbert-nli
argmaxinc/parakeetkit-pro,automatic-speech-recognition,parakeetkit-pro
Qdrant/all_miniLM_L6_v2_with_attentions,sentence-similarity,all_miniLM_L6_v2_with_attentions
unslothai/vram-40,feature-extraction,vram-40
oliverguhr/german-sentiment-bert,text-classification,german-sentiment-bert
timm/vit_large_patch14_reg4_dinov2.lvd142m,image-feature-extraction,vit_large_patch14_reg4_dinov2.lvd142m
slplab/wav2vec2-large-robust-L2-english-phoneme-recognition,automatic-speech-recognition,wav2vec2-large-robust-L2-english-phoneme-recognition
tarteel-ai/whisper-base-ar-quran,automatic-speech-recognition,whisper-base-ar-quran
pritamdeka/S-PubMedBert-MS-MARCO,sentence-similarity,S-PubMedBert-MS-MARCO
timm/vit_tiny_r_s16_p8_224.augreg_in21k,image-classification,vit_tiny_r_s16_p8_224.augreg_in21k
software-mansion/react-native-executorch-whisper-tiny,automatic-speech-recognition,react-native-executorch-whisper-tiny
cl-nagoya/ruri-v3-reranker-310m,text-ranking,ruri-v3-reranker-310m
OpenMOSS-Team/MOSS-Audio-Tokenizer,image-feature-extraction,MOSS-Audio-Tokenizer
p208p2002/zh-wiki-punctuation-restore,token-classification,zh-wiki-punctuation-restore
lightonai/LightOnOCR-1B-1025,image-to-text,LightOnOCR-1B-1025
kotoba-tech/kotoba-whisper-v2.2,automatic-speech-recognition,kotoba-whisper-v2.2
OpenMed/OpenMed-NER-ChemicalDetect-ModernMed-149M,token-classification,OpenMed-NER-ChemicalDetect-ModernMed-149M
OpenMed/OpenMed-NER-BloodCancerDetect-TinyMed-65M,token-classification,OpenMed-NER-BloodCancerDetect-TinyMed-65M
q-future/one-align,zero-shot-image-classification,one-align
Xenova/segformer-b0-finetuned-ade-512-512,image-segmentation,Xenova__segformer-b0-finetuned-ade-512-512
Mustafaa4a/ASR-Somali,automatic-speech-recognition,ASR-Somali
microsoft/table-transformer-structure-recognition-v1.1-all,object-detection,table-transformer-structure-recognition-v1.1-all
neuralmind/bert-base-portuguese-cased,fill-mask,bert-base-portuguese-cased
dangvantuan/vietnamese-document-embedding,sentence-similarity,vietnamese-document-embedding
jonathandinu/face-parsing,image-segmentation,face-parsing
avsolatorio/GIST-Embedding-v0,sentence-similarity,GIST-Embedding-v0
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,text-classification,distilroberta-finetuned-financial-news-sentiment-analysis
timm/vit_large_patch16_dinov3.lvd1689m,image-feature-extraction,vit_large_patch16_dinov3.lvd1689m
keremberke/yolov8m-table-extraction,object-detection,yolov8m-table-extraction
SCUT-DLVCLab/lilt-roberta-en-base,feature-extraction,lilt-roberta-en-base
lucas-leme/FinBERT-PT-BR,text-classification,FinBERT-PT-BR
cl-nagoya/ruri-v3-30m,sentence-similarity,ruri-v3-30m
distilbert/distilbert-base-cased-distilled-squad,question-answering,distilbert-base-cased-distilled-squad
cisco-ai/SecureBERT2.0-biencoder,sentence-similarity,SecureBERT2.0-biencoder
PaddlePaddle/PP-OCRv5_server_rec,image-to-text,PP-OCRv5_server_rec
Systran/faster-whisper-small.en,automatic-speech-recognition,faster-whisper-small.en
depth-anything/Depth-Anything-V2-Large-hf,depth-estimation,Depth-Anything-V2-Large-hf
siebert/sentiment-roberta-large-english,text-classification,sentiment-roberta-large-english
facebook/dinov2-giant,image-feature-extraction,dinov2-giant
facebook/convnextv2-base-22k-384,image-classification,convnextv2-base-22k-384
facebook/dinov2-giant-imagenet1k-1-layer,image-classification,dinov2-giant-imagenet1k-1-layer
facebook/convnextv2-tiny-1k-224,image-classification,convnextv2-tiny-1k-224
jinaai/jina-embeddings-v5-omni-small,feature-extraction,jina-embeddings-v5-omni-small
cross-encoder/nli-deberta-v3-xsmall,zero-shot-classification,nli-deberta-v3-xsmall
microsoft/deberta-v2-xlarge,fill-mask,deberta-v2-xlarge
jitesh/emotion-english,text-classification,emotion-english
s-nlp/roberta_toxicity_classifier,text-classification,roberta_toxicity_classifier
blanchefort/rubert-base-cased-sentiment,text-classification,rubert-base-cased-sentiment
nreimers/MiniLM-L3-H384-uncased,feature-extraction,MiniLM-L3-H384-uncased
Qdrant/paraphrase-multilingual-MiniLM-L12-v2-onnx-Q,sentence-similarity,paraphrase-multilingual-MiniLM-L12-v2-onnx-Q
TBOGamer22/wav2vec2-quran-phonetics,automatic-speech-recognition,wav2vec2-quran-phonetics
jackaduma/SecBERT,fill-mask,SecBERT
Systran/faster-whisper-base.en,automatic-speech-recognition,faster-whisper-base.en
dslim/distilbert-NER,token-classification,distilbert-NER
haywoodsloan/ai-image-detector-dev-deploy,image-classification,ai-image-detector-dev-deploy
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,zero-shot-classification,mDeBERTa-v3-base-mnli-xnli
google/siglip2-so400m-patch16-512,zero-shot-image-classification,siglip2-so400m-patch16-512
deepset/bert-large-uncased-whole-word-masking-squad2,question-answering,bert-large-uncased-whole-word-masking-squad2
google/madlad400-3b-mt,translation,madlad400-3b-mt
OpenMed/OpenMed-NER-ChemicalDetect-ModernMed-395M,token-classification,OpenMed-NER-ChemicalDetect-ModernMed-395M
OpenMed/OpenMed-NER-OncologyDetect-BigMed-278M,token-classification,OpenMed-NER-OncologyDetect-BigMed-278M
OpenMed/OpenMed-NER-DNADetect-SuperMedical-125M,token-classification,OpenMed-NER-DNADetect-SuperMedical-125M
OpenMed/OpenMed-NER-SpeciesDetect-ElectraMed-109M,token-classification,OpenMed-NER-SpeciesDetect-ElectraMed-109M
OpenMed/OpenMed-NER-PathologyDetect-TinyMed-135M,token-classification,OpenMed-NER-PathologyDetect-TinyMed-135M
OpenMed/OpenMed-NER-PharmaDetect-SuperClinical-434M,token-classification,OpenMed-NER-PharmaDetect-SuperClinical-434M
xingyang1/Distill-Any-Depth-Large-hf,depth-estimation,Distill-Any-Depth-Large-hf
sentence-transformers/sentence-t5-base,sentence-similarity,sentence-t5-base
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,feature-extraction,SapBERT-UMLS-2020AB-all-lang-from-XLMR
OpenMed/OpenMed-NER-AnatomyDetect-ElectraMed-109M,token-classification,OpenMed-NER-AnatomyDetect-ElectraMed-109M
unslothai/aws,feature-extraction,aws
timm/ViT-B-16-SigLIP2-256,zero-shot-image-classification,ViT-B-16-SigLIP2-256
tristayqc/my_zh_CN_asr_cv13_model,automatic-speech-recognition,my_zh_CN_asr_cv13_model
hfl/chinese-bert-wwm,fill-mask,chinese-bert-wwm
ibm-granite/granite-speech-3.3-8b,automatic-speech-recognition,granite-speech-3.3-8b
dbmdz/bert-base-italian-xxl-cased,fill-mask,bert-base-italian-xxl-cased
timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k,image-classification,vit_tiny_patch16_224.augreg_in21k_ft_in1k
facebook/nllb-200-distilled-1.3B,translation,nllb-200-distilled-1.3B
Helsinki-NLP/opus-mt-ko-en,translation,opus-mt-ko-en
naver-clova-ix/donut-base,image-to-text,donut-base
facebook/audiobox-aesthetics,audio-classification,audiobox-aesthetics
joeddav/xlm-roberta-large-xnli,zero-shot-classification,xlm-roberta-large-xnli
Davlan/xlm-roberta-base-ner-hrl,token-classification,xlm-roberta-base-ner-hrl
sentence-transformers/gtr-t5-base,sentence-similarity,gtr-t5-base
cardiffnlp/twitter-xlm-roberta-base,fill-mask,twitter-xlm-roberta-base
OpenMed/OpenMed-NER-OncologyDetect-MultiMed-568M,token-classification,OpenMed-NER-OncologyDetect-MultiMed-568M
timm/vit_base_patch16_dinov3.lvd1689m,image-feature-extraction,vit_base_patch16_dinov3.lvd1689m
nvidia/segformer-b2-finetuned-ade-512-512,image-segmentation,segformer-b2-finetuned-ade-512-512
padmajabfrl/Gender-Classification,text-classification,Gender-Classification
software-mansion/react-native-executorch-whisper-tiny.en,automatic-speech-recognition,react-native-executorch-whisper-tiny.en
flair/ner-english,token-classification,ner-english
sentence-transformers/stsb-roberta-base-v2,sentence-similarity,stsb-roberta-base-v2
prithivida/Splade_PP_en_v2,feature-extraction,Splade_PP_en_v2
d4data/biomedical-ner-all,token-classification,biomedical-ner-all
LenDigLearn/formality-classifier-mdeberta-v3-base,text-classification,formality-classifier-mdeberta-v3-base
facebook/nougat-base,image-to-text,nougat-base
google/owlvit-base-patch32,zero-shot-object-detection,owlvit-base-patch32
microsoft/deberta-xlarge-mnli,text-classification,deberta-xlarge-mnli
cross-encoder/stsb-roberta-base,text-ranking,stsb-roberta-base
timm/resnet50.fb_swsl_ig1b_ft_in1k,image-classification,resnet50.fb_swsl_ig1b_ft_in1k
circulus/koelectra-polite-v1,text-classification,koelectra-polite-v1
vinai/bertweet-base,fill-mask,bertweet-base
nvidia/parakeet-tdt-0.6b-v3,automatic-speech-recognition,nvidia__parakeet-tdt-0_6b-v3
cisco-ai/SecureBERT2.0-cross_encoder,sentence-similarity,SecureBERT2.0-cross_encoder
agkphysics/wav2vec2-large-xlsr-53-amharic,automatic-speech-recognition,wav2vec2-large-xlsr-53-amharic
voyageai/voyage-4-nano,feature-extraction,voyage-4-nano
facebook/mask2former-swin-large-cityscapes-semantic,image-segmentation,mask2former-swin-large-cityscapes-semantic
sentence-transformers/msmarco-distilbert-base-tas-b,sentence-similarity,msmarco-distilbert-base-tas-b
depth-anything/DA3-LARGE,depth-estimation,DA3-LARGE
OpenMed/OpenMed-NER-ChemicalDetect-MultiMed-568M,token-classification,OpenMed-NER-ChemicalDetect-MultiMed-568M
Arunavaonly/Bangla-twoclass-Sentiment-Analyzer,text-classification,Bangla-twoclass-Sentiment-Analyzer
finiteautomata/bertweet-base-sentiment-analysis,text-classification,bertweet-base-sentiment-analysis
Alibaba-NLP/gte-modernbert-base,sentence-similarity,gte-modernbert-base
nomic-ai/modernbert-embed-base,sentence-similarity,modernbert-embed-base
sentence-transformers/bert-base-nli-mean-tokens,sentence-similarity,bert-base-nli-mean-tokens
DeepChem/ChemBERTa-77M-MLM,fill-mask,ChemBERTa-77M-MLM
intfloat/e5-small,sentence-similarity,e5-small
imvladikon/sentence-transformers-alephbert,sentence-similarity,sentence-transformers-alephbert
human-centered-summarization/financial-summarization-pegasus,summarization,financial-summarization-pegasus
OpenMed/OpenMed-NER-PharmaDetect-ModernClinical-149M,token-classification,OpenMed-NER-PharmaDetect-ModernClinical-149M
microsoft/kosmos-2-patch14-224,image-to-text,kosmos-2-patch14-224
sentence-transformers/distilbert-base-nli-mean-tokens,feature-extraction,distilbert-base-nli-mean-tokens
cross-encoder-testing/reranker-bert-tiny-gooaq-bce,text-ranking,reranker-bert-tiny-gooaq-bce
mixedbread-ai/mxbai-embed-2d-large-v1,feature-extraction,mxbai-embed-2d-large-v1
m-a-p/MERT-v1-95M,audio-classification,MERT-v1-95M
Snowflake/snowflake-arctic-embed-m-v2.0,sentence-similarity,snowflake-arctic-embed-m-v2.0
OpenMed/OpenMed-NER-OrganismDetect-TinyMed-82M,token-classification,OpenMed-NER-OrganismDetect-TinyMed-82M
monologg/koelectra-small-v2-distilled-korquad-384,question-answering,koelectra-small-v2-distilled-korquad-384
timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k,image-classification,convnext_base.clip_laion2b_augreg_ft_in12k_in1k
timm/convnext_base.fb_in22k_ft_in1k,image-classification,convnext_base.fb_in22k_ft_in1k
vasista22/whisper-tamil-small,automatic-speech-recognition,whisper-tamil-small
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,image-classification,swin_base_patch4_window7_224.ms_in22k_ft_in1k
microsoft/harrier-oss-v1-270m,feature-extraction,harrier-oss-v1-270m
tner/roberta-large-tweetner7-all,token-classification,roberta-large-tweetner7-all
naver/splade-v3,feature-extraction,splade-v3
BAAI/bge-base-zh,feature-extraction,bge-base-zh
MahmoodLab/UNI2-h,image-feature-extraction,UNI2-h
OpenMed/OpenMed-NER-GenomicDetect-PubMed-335M,token-classification,OpenMed-NER-GenomicDetect-PubMed-335M
microsoft/trocr-base-stage1,image-to-text,trocr-base-stage1
timm/vit_so400m_patch16_siglip_256.v2_webli,image-feature-extraction,vit_so400m_patch16_siglip_256.v2_webli
Xenova/clip-vit-base-patch32,zero-shot-image-classification,Xenova__clip-vit-base-patch32
microsoft/mpnet-base,fill-mask,mpnet-base
OpenMed/OpenMed-NER-OrganismDetect-BioPatient-108M,token-classification,OpenMed-NER-OrganismDetect-BioPatient-108M
Helsinki-NLP/opus-mt-tc-big-en-tr,translation,opus-mt-tc-big-en-tr
Helsinki-NLP/opus-mt-ru-en,translation,opus-mt-ru-en
Helsinki-NLP/opus-mt-tc-big-tr-en,translation,opus-mt-tc-big-tr-en
ntu-spml/distilhubert,feature-extraction,distilhubert
microsoft/BiomedVLP-CXR-BERT-general,fill-mask,BiomedVLP-CXR-BERT-general
prithivMLmods/Common-Voice-Gender-Detection,audio-classification,Common-Voice-Gender-Detection
pparasurama/raceBERT-ethnicity,text-classification,raceBERT-ethnicity
OFA-Sys/chinese-clip-vit-base-patch16,zero-shot-image-classification,chinese-clip-vit-base-patch16
trmteb/turkish-embedding-model,sentence-similarity,turkish-embedding-model
ai-forever/ru-en-RoSBERTa,feature-extraction,ru-en-RoSBERTa
OpenMed/OpenMed-NER-ChemicalDetect-BigMed-560M,token-classification,OpenMed-NER-ChemicalDetect-BigMed-560M
ai4bharat/indictrans2-indic-en-1B,translation,indictrans2-indic-en-1B
sentence-transformers/paraphrase-xlm-r-multilingual-v1,sentence-similarity,paraphrase-xlm-r-multilingual-v1
avsolatorio/GIST-all-MiniLM-L6-v2,sentence-similarity,GIST-all-MiniLM-L6-v2
OpenMed/OpenMed-NER-DiseaseDetect-ElectraMed-109M,token-classification,OpenMed-NER-DiseaseDetect-ElectraMed-109M
Intel/zoedepth-nyu-kitti,depth-estimation,zoedepth-nyu-kitti
philschmid/bart-large-cnn-samsum,summarization,bart-large-cnn-samsum
timm/swin_tiny_patch4_window7_224.ms_in1k,image-classification,swin_tiny_patch4_window7_224.ms_in1k
mlx-community/nomicai-modernbert-embed-base-bf16,sentence-similarity,nomicai-modernbert-embed-base-bf16
mattmdjaga/segformer_b2_clothes,image-segmentation,segformer_b2_clothes
Systran/faster-whisper-large-v2,automatic-speech-recognition,faster-whisper-large-v2
perplexity-ai/pplx-embed-v1-0.6b,feature-extraction,pplx-embed-v1-0.6b
Helsinki-NLP/opus-mt-zh-en,translation,opus-mt-zh-en
